9.3,1,0.016047301,10,249.8092,2,2,1,1,3735.138
5.92,2,0.019278216,12,48.2692,4,2,3,2,443.4228
17.5,1,0.016760075,4,141.618,2,2,1,1,2097.27
19.2,2,0,15,182.095,2,2,3,4,732.38
8.93,1,0,7,53.8614,1,3,3,1,994.7052
10.395,2,0,11,51.4008,4,2,3,2,556.6088
13.65,2,0.012741089,8,57.6588,1,3,3,1,343.5528
12.6,1,0.127469857,8,107.7622,1,2,3,3,4022.7636
16.2,2,0.016687114,2,96.9726,3,2,2,1,1076.5986
19.2,2,0.09444959,2,187.8214,4,2,2,1,4710.535
11.8,1,0,15,45.5402,2,2,1,1,1516.0266
18.5,2,0.045463773,10,144.1102,2,1,1,1,2187.153
15.1,2,0.1000135,15,145.4786,2,2,1,1,1589.2646
17.6,2,0.047257328,8,119.6782,2,1,1,1,2145.2076
16.35,1,0.0680243,15,196.4426,1,3,3,1,1977.426
9,2,0.069088961,14,56.3614,2,1,1,1,1547.3192
11.8,1,0.008596051,3,115.3492,4,2,3,2,1621.8888
9,2,0.069196376,14,54.3614,2,2,1,1,718.3982
12.6,1,0.034237682,9,113.2834,1,2,3,3,2303.668
13.35,1,0.10249212,10,230.5352,3,1,2,1,2748.4224
18.85,2,0.138190277,8,250.8724,1,3,3,1,3775.086
12.6,2,0.035399923,11,144.5444,1,2,3,3,4064.0432
14.6,1,0.025698134,7,196.5084,3,1,2,1,1587.2672
12.6,1,0.057556998,11,107.6938,1,1,1,4,214.3876
13.85,2,0.025896485,2,165.021,2,1,1,1,4078.025
13,1,0.099887103,7,45.906,4,2,2,1,838.908
7.645,2,0.066693437,8,42.3112,3,1,2,1,1065.28
11.65,1,0.019356132,9,39.1164,1,3,3,1,308.9312
5.925,2,0.161466534,10,45.5086,2,2,3,4,178.4344
12.6,2,0.072221801,6,43.6454,1,1,1,4,125.8362
19.25,1,0.170348551,10,55.7956,2,2,3,4,163.7868
18.6,1,0.080829372,3,96.4436,4,2,3,2,2741.7644
18.7,1,0,8,256.6672,4,2,3,2,3068.0064
17.85,1,0,13,93.1436,3,2,2,1,2174.5028
17.5,1,0.097904029,12,174.8738,2,1,1,1,2085.2856
10,1,0.089291137,3,146.7102,2,2,1,1,3791.0652
12.6,2,0.059511812,15,128.0678,1,2,3,3,2797.6916
8.85,2,0.113123893,12,122.5388,4,2,3,2,1609.9044
12.6,2,0.123111453,8,36.9874,1,2,3,3,388.1614
12.6,1,0.026480954,8,87.6198,1,2,3,3,2180.495
13.35,1,0.102511504,10,230.6352,2,1,1,1,3435.528
9.8,1,0.02681843,4,126.002,1,3,3,1,2150.534
13.6,1,0.117818348,8,192.9136,2,2,1,1,2527.3768
21.35,1,0.069102831,6,259.9278,4,2,3,2,6768.5228
12.15,2,0.042277867,6,126.5046,1,3,3,1,373.5138
6.42,1,0.089498926,10,178.1002,2,2,3,4,358.2004
19.6,1,0,3,153.3024,3,2,2,1,2428.8384
10,1,0.025879577,6,265.2226,3,2,2,1,5815.0972
15.85,2,0.121632721,11,60.622,2,1,1,1,2576.646
12.6,2,0.255394896,10,196.8794,1,1,1,4,780.3176
7.39,1,0.067779712,3,143.8812,2,1,1,1,3134.5864
10.195,1,0.159803853,2,141.5154,1,3,3,1,850.8924
9.895,2,0.028696932,6,117.0492,1,3,3,1,810.9444
10.895,1,0.065041581,15,196.3794,4,2,2,1,3121.2704
12.15,1,0.028760013,7,151.4708,4,2,2,1,4815.0656
7.905,1,0.010053105,8,249.0408,4,2,3,2,6258.52
9.195,1,0.048157338,7,106.1622,3,2,2,1,2117.244
8.365,1,0.071958197,9,38.0506,2,2,1,1,796.9626
15.1,1,0.173481304,8,194.511,2,1,1,1,4910.275
12.6,1,0.061082177,6,180.0344,1,1,1,4,892.172
10,1,0,15,246.9144,4,2,3,2,3185.1872
7.97,2,0.040071131,4,87.3514,3,2,2,1,1062.6168
12.6,1,0.012090074,15,38.2848,1,2,3,3,484.7024
12.6,2,0.15028599,2,51.0692,1,1,1,4,147.8076
12.6,1,0.026015519,8,255.8356,1,2,3,3,2543.356
17.7,1,0.195068226,8,185.4266,2,2,3,4,184.4266
19.35,1,0.033082215,4,172.5738,3,1,2,1,4865.6664
13.65,2,0.078946455,10,186.024,3,2,2,1,1118.544
17.6,1,0.041700756,12,164.8526,3,2,2,1,2302.3364
8.645,1,0.143422643,3,95.841,2,1,1,1,2027.361
15.6,2,0.105296072,8,170.1764,2,1,1,1,3435.528
